Some Say - Felix Jaehn Remix ,Stream Count: 866231
Someone To You ,Stream Count: 708376
Someone You Loved ,Stream Count: 1903846
Something Just Like This ,Stream Count: 672605
Sour Candy (with BLACKPINK) ,Stream Count: 655822
Star Shopping ,Stream Count: 672430
Still Don't Know My Name ,Stream Count: 1396382
Stuck with U (with Justin Bieber) ,Stream Count: 1508893
Stunnin' (feat. Harm Franklin) ,Stream Count: 1013723
Sunday Best ,Stream Count: 913744
Sunflower - Spider-Man: Into the Spider-Verse ,Stream Count: 1165259
Supalonely ,Stream Count: 910464
Sweater Weather ,Stream Count: 648672
THE BADDEST ,Stream Count: 951079
THE SCOTTS ,Stream Count: 949591
TKN (feat. Travis Scott) ,Stream Count: 1118509
Tak Tiki Tak ,Stream Count: 829621
Take You Dancing ,Stream Count: 1336945
Tap In ,Stream Count: 741706
Tattoo - Remix with Camilo ,Stream Count: 1988226
The Box ,Stream Count: 1300398
The Less I Know The Better ,Stream Count: 658903
The Plan - From the Motion Picture ""TENET ,Stream Count: 931320
The Woo (feat. 50 Cent & Roddy Ricch) ,Stream Count: 1629743
Toosie Slide ,Stream Count: 1335756
Tusa ,Stream Count: 1160509
UN DIA (ONE DAY) (Feat. Tainy) ,Stream Count: 2354241
Unterwegs ,Stream Count: 656529
WAP (feat. Megan Thee Stallion) ,Stream Count: 6466204
WHATS POPPIN ,Stream Count: 779068
WHATS POPPIN (feat. DaBaby ,Stream Count: 1800696
Watermelon Sugar ,Stream Count: 3699915
We Paid (feat. 42 Dugg) ,Stream Count: 670981
What's Love Got to Do with It ,Stream Count: 658241
When I Look At You ,Stream Count: 767009
Wishing Well ,Stream Count: 1883562
Without Me ,Stream Count: 695943
Yo Perreo Sola ,Stream Count: 809868
bad guy ,Stream Count: 1090282
cardigan ,Stream Count: 1209312
death bed (coffee for your head) ,Stream Count: 1885004
everything i wanted ,Stream Count: 947218
exile (feat. Bon Iver) ,Stream Count: 965876
feel something ,Stream Count: 709924
goosebumps ,Stream Count: 1221577
hot girl bummer ,Stream Count: 816271
ily (i love you baby) (feat. Emilee) ,Stream Count: 1518907
lovely (with Khalid) ,Stream Count: 1033262
my ex's best friend (with Blackbear) ,Stream Count: 1179561
my future ,Stream Count: 1139575
rockstar (feat. 21 Savage) ,Stream Count: 767978
the 1 ,Stream Count: 767781
when the party's over ,Stream Count: 760150
you broke me first ,Stream Count: 1833373
